SOURCE,SURVERYPERIOD,DATEFORMATTED,SAMPLE,FAVORABLE,UNFAVORABLE,MARGIN,CANDIDATE,DAYS_TO_GENERAL_ELECTION,ELECTION_YEAR,ELECTION_DATE
Economist/YouGov,3/26 - 3/28,3/28/2017,1265 RV,44,53,-9,TRUMP,1316,2020,11/3/2020
Economist/YouGov,4/2 - 4/4,4/4/2017,1331 RV,44,52,-8,TRUMP,1309,2020,11/3/2020
Economist/YouGov,4/10 - 4/11,4/11/2017,1325 RV,43,53,-10,TRUMP,1302,2020,11/3/2020
Economist/YouGov,4/15 - 4/18,4/18/2017,1291 RV,45,51,-6,TRUMP,1295,2020,11/3/2020
Economist/YouGov,4/23 - 4/25,4/25/2017,1288 RV,44,53,-9,TRUMP,1288,2020,11/3/2020
Economist/YouGov,4/29 - 5/2,5/2/2017,1255 RV,48,49,-1,TRUMP,1281,2020,11/3/2020
Economist/YouGov,5/6 - 5/9,5/9/2017,1287 RV,42,55,-13,TRUMP,1274,2020,11/3/2020
Economist/YouGov,5/13 - 5/16,5/16/2017,1298 RV,40,57,-17,TRUMP,1267,2020,11/3/2020
Economist/YouGov,5/20 - 5/23,5/23/2017,1276 RV,42,55,-13,TRUMP,1260,2020,11/3/2020
Economist/YouGov,5/27 - 5/30,5/30/2017,1269 RV,41,54,-13,TRUMP,1253,2020,11/3/2020
Economist/YouGov,6/4 - 6/6,6/6/2017,1288 RV,44,53,-9,TRUMP,1246,2020,11/3/2020
Economist/YouGov,6/11 - 6/13,6/13/2017,1310 RV,44,52,-8,TRUMP,1239,2020,11/3/2020
Economist/YouGov,6/18 - 6/20,6/20/2017,1277 RV,43,52,-9,TRUMP,1232,2020,11/3/2020
Economist/YouGov,6/25 - 6/27,6/27/2017,1295 RV,43,55,-12,TRUMP,1225,2020,11/3/2020
Economist/YouGov,7/3 - 7/4,7/4/2017,1323 RV,43,52,-9,TRUMP,1218,2020,11/3/2020
Economist/YouGov,7/9 - 7/11,7/11/2017,1284 RV,44,52,-8,TRUMP,1211,2020,11/3/2020
Economist/YouGov,7/15 - 7/18,7/18/2017,1273 RV,41,56,-15,TRUMP,1204,2020,11/3/2020
Economist/YouGov,7/23 - 7/25,7/25/2017,1282 RV,42,55,-13,TRUMP,1197,2020,11/3/2020
Economist/YouGov,7/31 - 8/1,8/1/2017,1329 RV,40,56,-16,TRUMP,1190,2020,11/3/2020
Economist/YouGov,8/6 - 8/8,8/8/2017,1303 RV,43,53,-10,TRUMP,1183,2020,11/3/2020
Economist/YouGov,8/13 - 8/15,8/15/2017,1291 RV,42,55,-13,TRUMP,1176,2020,11/3/2020
Economist/YouGov,8/20 - 8/22,8/22/2017,1327 RV,42,54,-12,TRUMP,1169,2020,11/3/2020
Economist/YouGov,8/27 - 8/29,8/29/2017,1278 RV,41,57,-16,TRUMP,1162,2020,11/3/2020
Economist/YouGov,9/3 - 9/5,9/5/2017,1309 RV,43,53,-10,TRUMP,1155,2020,11/3/2020
Economist/YouGov,9/10 - 9/12,9/12/2017,1313 RV,41,55,-14,TRUMP,1148,2020,11/3/2020
Economist/YouGov,9/17 - 9/19,9/19/2017,1292 RV,41,55,-14,TRUMP,1141,2020,11/3/2020
Economist/YouGov,9/24 - 9/26,9/26/2017,1254 RV,42,56,-14,TRUMP,1134,2020,11/3/2020
Economist/YouGov,10/1 - 10/3,10/3/2017,1298 RV,43,55,-12,TRUMP,1127,2020,11/3/2020
Economist/YouGov,10/7 - 10/10,10/10/2017,1278 RV,41,56,-15,TRUMP,1120,2020,11/3/2020
Economist/YouGov,10/15 - 10/16,10/16/2017,1326 RV,43,53,-10,TRUMP,1114,2020,11/3/2020
Economist/YouGov,10/22 - 10/24,10/24/2017,1312 RV,42,56,-14,TRUMP,1106,2020,11/3/2020
Economist/YouGov,10/29 - 10/31,10/31/2017,1291 RV,43,54,-11,TRUMP,1099,2020,11/3/2020
Economist/YouGov,11/5 - 11/7,11/7/2017,1336 RV,43,55,-12,TRUMP,1092,2020,11/3/2020
Economist/YouGov,11/12 - 11/14,11/14/2017,1281 RV,41,56,-15,TRUMP,1085,2020,11/3/2020
Economist/YouGov,11/19 - 11/21,11/21/2017,1344 RV,40,57,-17,TRUMP,1078,2020,11/3/2020
Economist/YouGov,11/26 - 11/28,11/28/2017,1319 RV,43,55,-12,TRUMP,1071,2020,11/3/2020
Economist/YouGov,12/3 - 12/5,12/5/2017,1341 RV,41,55,-14,TRUMP,1064,2020,11/3/2020
Economist/YouGov,12/10 - 12/12,12/12/2017,1338 RV,41,55,-14,TRUMP,1057,2020,11/3/2020
Economist/YouGov,12/17 - 12/19,12/19/2017,1291 RV,42,54,-12,TRUMP,1050,2020,11/3/2020
Economist/YouGov,12/24 - 12/26,12/26/2017,1004 RV,43,54,-11,TRUMP,1043,2020,11/3/2020
Economist/YouGov,12/31 - 1/2,1/2/2018,1277 RV,44,54,-10,TRUMP,1036,2020,11/3/2020
Economist/YouGov,1/8 - 1/9,1/9/2018,1327 RV,44,53,-9,TRUMP,1029,2020,11/3/2020
Economist/YouGov,1/14 - 1/16,1/16/2018,1311 RV,44,54,-10,TRUMP,1022,2020,11/3/2020
Economist/YouGov,1/21 - 1/23,1/23/2018,1301 RV,43,55,-12,TRUMP,1015,2020,11/3/2020
Economist/YouGov,1/28 - 1/30,1/30/2018,1264 RV,44,54,-10,TRUMP,1008,2020,11/3/2020
Economist/YouGov,2/4 - 2/6,2/6/2018,1320 RV,45,54,-9,TRUMP,1001,2020,11/3/2020
Economist/YouGov,2/11 - 2/13,2/13/2018,1280 RV,45,52,-7,TRUMP,994,2020,11/3/2020
Economist/YouGov,2/18 - 2/20,2/20/2018,1308 RV,42,54,-12,TRUMP,987,2020,11/3/2020
Economist/YouGov,2/25 - 2/27,2/27/2018,1296 RV,44,54,-10,TRUMP,980,2020,11/3/2020
Economist/YouGov,3/4 - 3/6,3/6/2018,1310 RV,42,56,-14,TRUMP,973,2020,11/3/2020
Economist/YouGov,3/10 - 3/13,3/13/2018,1291 RV,42,55,-13,TRUMP,966,2020,11/3/2020
Economist/YouGov,3/18 - 3/20,3/20/2018,1284 RV,42,55,-13,TRUMP,959,2020,11/3/2020
Economist/YouGov,3/25 - 3/27,3/27/2018,1330 RV,43,54,-11,TRUMP,952,2020,11/3/2020
Economist/YouGov,4/1 - 4/3,4/3/2018,1246 RV,42,55,-13,TRUMP,945,2020,11/3/2020
Economist/YouGov,4/8 - 4/10,4/10/2018,1292 RV,43,54,-11,TRUMP,938,2020,11/3/2020
Economist/YouGov,4/15 - 4/17,4/17/2018,1274 RV,42,55,-13,TRUMP,931,2020,11/3/2020
Economist/YouGov,4/22 - 4/24,4/24/2018,1270 RV,42,55,-13,TRUMP,924,2020,11/3/2020
Economist/YouGov,4/29 - 5/1,5/1/2018,1273 RV,44,55,-11,TRUMP,917,2020,11/3/2020
Economist/YouGov,5/6 - 5/8,5/8/2018,1232 RV,43,54,-11,TRUMP,910,2020,11/3/2020
Economist/YouGov,5/13 - 5/15,5/15/2018,1231 RV,44,52,-8,TRUMP,903,2020,11/3/2020
Economist/YouGov,5/20 - 5/22,5/22/2018,1263 RV,41,56,-15,TRUMP,896,2020,11/3/2020
Economist/YouGov,5/27 - 5/29,5/29/2018,1279 RV,45,52,-7,TRUMP,889,2020,11/3/2020
Economist/YouGov,6/3 - 6/5,6/5/2018,1292 RV,42,56,-14,TRUMP,882,2020,11/3/2020
Economist/YouGov,6/10 - 6/12,6/12/2018,1308 RV,45,53,-8,TRUMP,875,2020,11/3/2020
Economist/YouGov,6/17 - 6/19,6/19/2018,1272 RV,46,52,-6,TRUMP,868,2020,11/3/2020
Economist/YouGov,6/24 - 6/26,6/26/2018,1278 RV,44,53,-9,TRUMP,861,2020,11/3/2020
Economist/YouGov,7/1 - 7/3,7/3/2018,1263 RV,45,52,-7,TRUMP,854,2020,11/3/2020
Economist/YouGov,7/8 - 7/10,7/10/2018,1246 RV,43,53,-10,TRUMP,847,2020,11/3/2020
Economist/YouGov,7/15 - 7/17,7/17/2018,1272 RV,45,53,-8,TRUMP,840,2020,11/3/2020
Economist/YouGov,7/22 - 7/24,7/24/2018,1203 RV,44,56,-12,TRUMP,833,2020,11/3/2020
Economist/YouGov,7/29 - 7/31,7/31/2018,1222 RV,44,54,-10,TRUMP,826,2020,11/3/2020
Economist/YouGov,8/5 - 8/7,8/7/2018,1289 RV,44,53,-9,TRUMP,819,2020,11/3/2020
Economist/YouGov,8/12 - 8/14,8/14/2018,1250 RV,46,52,-6,TRUMP,812,2020,11/3/2020
Economist/YouGov,8/12 - 8/14,8/14/2018,1250 RV,46,52,-6,TRUMP,812,2020,11/3/2020
Economist/YouGov,8/19 - 8/21,8/21/2018,1247 RV,44,53,-9,TRUMP,805,2020,11/3/2020
Economist/YouGov,8/26 - 8/28,8/28/2018,1249 RV,43,54,-11,TRUMP,798,2020,11/3/2020
Economist/YouGov,9/2 - 9/4,9/4/2018,1254 RV,43,54,-11,TRUMP,791,2020,11/3/2020
Economist/YouGov,9/9 - 9/11,9/11/2018,1220 RV,44,54,-10,TRUMP,784,2020,11/3/2020
Economist/YouGov,9/16 - 9/18,9/18/2018,1195 RV,45,52,-7,TRUMP,777,2020,11/3/2020
Economist/YouGov,9/23 - 9/25,9/25/2018,1238 RV,44,54,-10,TRUMP,770,2020,11/3/2020
Economist/YouGov,9/30 - 10/2,10/2/2018,1227 RV,44,55,-11,TRUMP,763,2020,11/3/2020
Economist/YouGov,10/7 - 10/9,10/9/2018,1162 RV,44,53,-9,TRUMP,756,2020,11/3/2020
Economist/YouGov,10/14 - 10/16,10/16/2018,1273 RV,45,52,-7,TRUMP,749,2020,11/3/2020
Economist/YouGov,10/21 - 10/23,10/23/2018,1233 RV,46,52,-6,TRUMP,742,2020,11/3/2020
Economist/YouGov,10/28 - 10/30,10/30/2018,1296 RV,45,53,-8,TRUMP,735,2020,11/3/2020
Economist/YouGov,11/4 - 11/6,11/6/2018,1290 RV,45,53,-8,TRUMP,728,2020,11/3/2020
Economist/YouGov,11/11 - 11/13,11/13/2018,1284 RV,44,54,-10,TRUMP,721,2020,11/3/2020
Economist/YouGov,11/18 - 11/20,11/20/2018,1328 RV,44,54,-10,TRUMP,714,2020,11/3/2020
Economist/YouGov,11/25 - 11/27,11/27/2018,1293 RV,44,54,-10,TRUMP,707,2020,11/3/2020
Economist/YouGov,12/2 - 12/4,12/4/2018,1286 RV,44,54,-10,TRUMP,700,2020,11/3/2020
Economist/YouGov,12/9 - 12/11,12/11/2018,1303 RV,42,56,-14,TRUMP,693,2020,11/3/2020
Economist/YouGov,12/16 - 12/18,12/18/2018,1316 RV,44,54,-10,TRUMP,686,2020,11/3/2020
Economist/YouGov,12/23 - 12/25,12/25/2018,1298 RV,42,56,-14,TRUMP,679,2020,11/3/2020
Economist/YouGov,12/30 - 1/1,1/1/2019,1283 RV,43,55,-12,TRUMP,672,2020,11/3/2020
Economist/YouGov,1/6 - 1/8,1/8/2019,1299 RV,44,54,-10,TRUMP,665,2020,11/3/2020
Economist/YouGov,1/12 - 1/15,1/15/2019,1289 RV,44,54,-10,TRUMP,658,2020,11/3/2020
Economist/YouGov,1/20 - 1/22,1/22/2019,1257 RV,42,56,-14,TRUMP,651,2020,11/3/2020
Economist/YouGov,1/27 - 1/29,1/29/2019,1313 RV,43,55,-12,TRUMP,644,2020,11/3/2020
Economist/YouGov,1/27 - 1/29,1/29/2019,1313 RV,42,50,-8,BERNIE,644,2020,11/3/2020
Economist/YouGov,2/2 - 2/5,2/5/2019,1294 RV,42,54,-12,TRUMP,637,2020,11/3/2020
Economist/YouGov,2/10 - 2/12,2/12/2019,1283 RV,40,58,-18,TRUMP,630,2020,11/3/2020
Economist/YouGov,2/10 - 2/12,2/12/2019,1283 RV,45,47,-2,BERNIE,630,2020,11/3/2020
Economist/YouGov,2/17 - 2/19,2/19/2019,1318 RV,44,53,-9,TRUMP,623,2020,11/3/2020
Economist/YouGov,2/17 - 2/19,2/19/2019,1318 RV,42,49,-7,BERNIE,623,2020,11/3/2020
Economist/YouGov,2/24 - 2/26,2/26/2019,1328 RV,44,54,-10,TRUMP,616,2020,11/3/2020
Economist/YouGov,2/24 - 2/26,2/26/2019,1328 RV,44,48,-4,BERNIE,616,2020,11/3/2020
Economist/YouGov,3/3 - 3/5,3/5/2019,1304 RV,46,53,-7,TRUMP,609,2020,11/3/2020
Economist/YouGov,3/3 - 3/5,3/5/2019,1304 RV,41,51,-10,BERNIE,609,2020,11/3/2020
Economist/YouGov,3/10 - 3/12,3/12/2019,1279 RV,51,43,8,BIDEN,602,2020,11/3/2020
Economist/YouGov,3/10 - 3/12,3/12/2019,1279 RV,44,55,-11,TRUMP,602,2020,11/3/2020
Economist/YouGov,3/10 - 3/12,3/12/2019,1279 RV,43,49,-6,BERNIE,602,2020,11/3/2020
Economist/YouGov,3/17 - 3/19,3/19/2019,1287 RV,52,39,13,BIDEN,595,2020,11/3/2020
Economist/YouGov,3/17 - 3/19,3/19/2019,1287 RV,42,56,-14,TRUMP,595,2020,11/3/2020
Economist/YouGov,3/17 - 3/19,3/19/2019,1287 RV,44,49,-5,BERNIE,595,2020,11/3/2020
Economist/YouGov,3/24 - 3/26,3/26/2019,1249 RV,51,42,9,BIDEN,588,2020,11/3/2020
Economist/YouGov,3/24 - 3/26,3/26/2019,1249 RV,45,54,-9,TRUMP,588,2020,11/3/2020
Economist/YouGov,3/24 - 3/26,3/26/2019,1249 RV,43,51,-8,BERNIE,588,2020,11/3/2020
Economist/YouGov,3/31 - 4/2,4/2/2019,1227 RV,48,42,6,BIDEN,581,2020,11/3/2020
Economist/YouGov,3/31 - 4/2,4/2/2019,1227 RV,43,55,-12,TRUMP,581,2020,11/3/2020
Economist/YouGov,3/31 - 4/2,4/2/2019,1227 RV,44,48,-4,BERNIE,581,2020,11/3/2020
Economist/YouGov,4/6 - 4/9,4/9/2019,1267 RV,49,45,4,BIDEN,574,2020,11/3/2020
Economist/YouGov,4/6 - 4/9,4/9/2019,1267 RV,44,53,-9,TRUMP,574,2020,11/3/2020
Economist/YouGov,4/6 - 4/9,4/9/2019,1267 RV,43,50,-7,BERNIE,574,2020,11/3/2020
Economist/YouGov,4/13 - 4/16,4/16/2019,1186 RV,47,45,2,BIDEN,567,2020,11/3/2020
Economist/YouGov,4/13 - 4/16,4/16/2019,1186 RV,43,54,-11,TRUMP,567,2020,11/3/2020
Economist/YouGov,4/13 - 4/16,4/16/2019,1186 RV,43,49,-6,BERNIE,567,2020,11/3/2020
Economist/YouGov,4/21 - 4/23,4/23/2019,1268 RV,46,45,1,BIDEN,560,2020,11/3/2020
Economist/YouGov,4/21 - 4/23,4/23/2019,1268 RV,44,54,-10,TRUMP,560,2020,11/3/2020
Economist/YouGov,4/21 - 4/23,4/23/2019,1268 RV,45,48,-3,BERNIE,560,2020,11/3/2020
Economist/YouGov,4/27 - 4/30,4/30/2019,1073 RV,49,43,6,BIDEN,553,2020,11/3/2020
Economist/YouGov,4/27 - 4/30,4/30/2019,1073 RV,43,54,-11,TRUMP,553,2020,11/3/2020
Economist/YouGov,4/27 - 4/30,4/30/2019,1073 RV,45,49,-4,BERNIE,553,2020,11/3/2020
Economist/YouGov,5/5 - 5/7,5/7/2019,1168 RV,47,45,2,BIDEN,546,2020,11/3/2020
Economist/YouGov,5/5 - 5/7,5/7/2019,1168 RV,45,53,-8,TRUMP,546,2020,11/3/2020
Economist/YouGov,5/5 - 5/7,5/7/2019,1168 RV,44,49,-5,BERNIE,546,2020,11/3/2020
Economist/YouGov,5/12 - 5/14,5/14/2019,1244 RV,44,54,-10,TRUMP,539,2020,11/3/2020
Economist/YouGov,5/18 - 5/21,5/21/2019,1113 RV,47,46,1,BIDEN,532,2020,11/3/2020
Economist/YouGov,5/18 - 5/21,5/21/2019,1113 RV,43,56,-13,TRUMP,532,2020,11/3/2020
Economist/YouGov,5/18 - 5/21,5/21/2019,1113 RV,45,48,-3,BERNIE,532,2020,11/3/2020
Economist/YouGov,5/26 - 5/28,5/28/2019,1120 RV,46,46,0,BIDEN,525,2020,11/3/2020
Economist/YouGov,5/26 - 5/28,5/28/2019,1120 RV,44,54,-10,TRUMP,525,2020,11/3/2020
Economist/YouGov,5/26 - 5/28,5/28/2019,1120 RV,45,47,-2,BERNIE,525,2020,11/3/2020
Economist/YouGov,6/2 - 6/4,6/4/2019,1195 RV,46,47,-1,BIDEN,518,2020,11/3/2020
Economist/YouGov,6/2 - 6/4,6/4/2019,1195 RV,45,53,-8,TRUMP,518,2020,11/3/2020
Economist/YouGov,6/2 - 6/4,6/4/2019,1195 RV,42,50,-8,BERNIE,518,2020,11/3/2020
Economist/YouGov,6/9 - 6/11,6/11/2019,1107 RV,44,50,-6,BIDEN,511,2020,11/3/2020
Economist/YouGov,6/9 - 6/11,6/11/2019,1107 RV,45,54,-9,TRUMP,511,2020,11/3/2020
Economist/YouGov,6/9 - 6/11,6/11/2019,1107 RV,43,52,-9,BERNIE,511,2020,11/3/2020
Economist/YouGov,6/16 - 6/18,6/18/2019,1202 RV,44,48,-4,BIDEN,504,2020,11/3/2020
Economist/YouGov,6/16 - 6/18,6/18/2019,1202 RV,45,53,-8,TRUMP,504,2020,11/3/2020
Economist/YouGov,6/16 - 6/18,6/18/2019,1202 RV,43,49,-6,BERNIE,504,2020,11/3/2020
Economist/YouGov,6/22 - 6/25,6/25/2019,1111 RV,47,46,1,BIDEN,497,2020,11/3/2020
Economist/YouGov,6/22 - 6/25,6/25/2019,1111 RV,46,52,-6,TRUMP,497,2020,11/3/2020
Economist/YouGov,6/22 - 6/25,6/25/2019,1111 RV,45,48,-3,BERNIE,497,2020,11/3/2020
Economist/YouGov,6/30 - 7/2,7/2/2019,1265 RV,44,50,-6,BIDEN,490,2020,11/3/2020
Economist/YouGov,6/30 - 7/2,7/2/2019,1265 RV,44,53,-9,TRUMP,490,2020,11/3/2020
Economist/YouGov,6/30 - 7/2,7/2/2019,1265 RV,42,52,-10,BERNIE,490,2020,11/3/2020
Economist/YouGov,7/7 - 7/9,7/9/2019,1140 RV,44,47,-3,BIDEN,483,2020,11/3/2020
Economist/YouGov,7/7 - 7/9,7/9/2019,1140 RV,44,54,-10,TRUMP,483,2020,11/3/2020
Economist/YouGov,7/7 - 7/9,7/9/2019,1140 RV,42,50,-8,BERNIE,483,2020,11/3/2020
Economist/YouGov,7/14 - 7/16,7/16/2019,1149 RV,46,46,0,BIDEN,476,2020,11/3/2020
Economist/YouGov,7/14 - 7/16,7/16/2019,1149 RV,46,52,-6,TRUMP,476,2020,11/3/2020
Economist/YouGov,7/14 - 7/16,7/16/2019,1149 RV,43,49,-6,BERNIE,476,2020,11/3/2020
Economist/YouGov,7/21 - 7/23,7/23/2019,1212 RV,42,49,-7,BIDEN,469,2020,11/3/2020
Economist/YouGov,7/21 - 7/23,7/23/2019,1212 RV,44,53,-9,TRUMP,469,2020,11/3/2020
Economist/YouGov,7/21 - 7/23,7/23/2019,1212 RV,41,51,-10,BERNIE,469,2020,11/3/2020
Economist/YouGov,7/27 - 7/30,7/30/2019,1101 RV,48,46,2,BIDEN,462,2020,11/3/2020
Economist/YouGov,7/27 - 7/30,7/30/2019,1101 RV,42,56,-14,TRUMP,462,2020,11/3/2020
Economist/YouGov,7/27 - 7/30,7/30/2019,1101 RV,44,49,-5,BERNIE,462,2020,11/3/2020
Economist/YouGov,8/3 - 8/6,8/6/2019,1161 RV,44,45,-1,BIDEN,455,2020,11/3/2020
Economist/YouGov,8/3 - 8/6,8/6/2019,1161 RV,44,54,-10,TRUMP,455,2020,11/3/2020
Economist/YouGov,8/3 - 8/6,8/6/2019,1161 RV,41,49,-8,BERNIE,455,2020,11/3/2020
Economist/YouGov,8/10 - 8/13,8/13/2019,1127 RV,43,56,-13,TRUMP,448,2020,11/3/2020
Economist/YouGov,8/17 - 8/20,8/20/2019,1111 RV,42,50,-8,BIDEN,441,2020,11/3/2020
Economist/YouGov,8/17 - 8/20,8/20/2019,1111 RV,44,54,-10,TRUMP,441,2020,11/3/2020
Economist/YouGov,8/17 - 8/20,8/20/2019,1111 RV,44,50,-6,BERNIE,441,2020,11/3/2020
Economist/YouGov,8/24 - 8/27,8/27/2019,1093 RV,46,46,0,BIDEN,434,2020,11/3/2020
Economist/YouGov,8/24 - 8/27,8/27/2019,1093 RV,44,53,-9,TRUMP,434,2020,11/3/2020
Economist/YouGov,8/24 - 8/27,8/27/2019,1093 RV,46,47,-1,BERNIE,434,2020,11/3/2020
Economist/YouGov,9/1 - 9/3,9/3/2019,1069 RV,42,51,-9,BIDEN,427,2020,11/3/2020
Economist/YouGov,9/1 - 9/3,9/3/2019,1069 RV,46,52,-6,TRUMP,427,2020,11/3/2020
Economist/YouGov,9/1 - 9/3,9/3/2019,1069 RV,42,50,-8,BERNIE,427,2020,11/3/2020
Economist/YouGov,9/8 - 9/10,9/10/2019,1188 RV,44,49,-5,BIDEN,420,2020,11/3/2020
Economist/YouGov,9/8 - 9/10,9/10/2019,1188 RV,42,55,-13,TRUMP,420,2020,11/3/2020
Economist/YouGov,9/8 - 9/10,9/10/2019,1188 RV,43,51,-8,BERNIE,420,2020,11/3/2020
Economist/YouGov,9/14 - 9/17,9/17/2019,1184 RV,44,49,-5,BIDEN,413,2020,11/3/2020
Economist/YouGov,9/14 - 9/17,9/17/2019,1184 RV,44,54,-10,TRUMP,413,2020,11/3/2020
Economist/YouGov,9/14 - 9/17,9/17/2019,1184 RV,43,52,-9,BERNIE,413,2020,11/3/2020
Economist/YouGov,9/22 - 9/24,9/24/2019,1198 RV,45,46,-1,BIDEN,406,2020,11/3/2020
Economist/YouGov,9/22 - 9/24,9/24/2019,1198 RV,44,54,-10,TRUMP,406,2020,11/3/2020
Economist/YouGov,9/22 - 9/24,9/24/2019,1198 RV,47,47,0,BERNIE,406,2020,11/3/2020
Economist/YouGov,9/28 - 10/1,10/1/2019,1087 RV,42,51,-9,BIDEN,399,2020,11/3/2020
Economist/YouGov,9/28 - 10/1,10/1/2019,1087 RV,43,54,-11,TRUMP,399,2020,11/3/2020
Economist/YouGov,9/28 - 10/1,10/1/2019,1087 RV,41,52,-11,BERNIE,399,2020,11/3/2020
Economist/YouGov,10/6 - 10/8,10/8/2019,1241 RV,42,53,-11,BIDEN,392,2020,11/3/2020
Economist/YouGov,10/6 - 10/8,10/8/2019,1241 RV,46,53,-7,TRUMP,392,2020,11/3/2020
Economist/YouGov,10/6 - 10/8,10/8/2019,1241 RV,44,50,-6,BERNIE,392,2020,11/3/2020
Economist/YouGov,10/13 - 10/15,10/15/2019,1136 RV,47,48,-1,BIDEN,385,2020,11/3/2020
Economist/YouGov,10/13 - 10/15,10/15/2019,1136 RV,42,55,-13,TRUMP,385,2020,11/3/2020
Economist/YouGov,10/13 - 10/15,10/15/2019,1136 RV,46,48,-2,BERNIE,385,2020,11/3/2020
Economist/YouGov,10/20 - 10/22,10/22/2019,1204 RV,42,51,-9,BIDEN,378,2020,11/3/2020
Economist/YouGov,10/20 - 10/22,10/22/2019,1204 RV,43,55,-12,TRUMP,378,2020,11/3/2020
Economist/YouGov,10/20 - 10/22,10/22/2019,1204 RV,42,49,-7,BERNIE,378,2020,11/3/2020
Economist/YouGov,10/27 - 10/29,10/29/2019,1274 RV,44,48,-4,BIDEN,371,2020,11/3/2020
Economist/YouGov,10/27 - 10/29,10/29/2019,1274 RV,45,54,-9,TRUMP,371,2020,11/3/2020
Economist/YouGov,10/27 - 10/29,10/29/2019,1274 RV,44,49,-5,BERNIE,371,2020,11/3/2020
Economist/YouGov,11/3 - 11/5,11/5/2019,1201 RV,44,50,-6,BIDEN,364,2020,11/3/2020
Economist/YouGov,11/3 - 11/5,11/5/2019,1201 RV,44,55,-11,TRUMP,364,2020,11/3/2020
Economist/YouGov,11/3 - 11/5,11/5/2019,1201 RV,45,49,-4,BERNIE,364,2020,11/3/2020
Economist/YouGov,11/10 - 11/12,11/12/2019,1206 RV,41,51,-10,BIDEN,357,2020,11/3/2020
Economist/YouGov,11/10 - 11/12,11/12/2019,1206 RV,43,55,-12,TRUMP,357,2020,11/3/2020
Economist/YouGov,11/10 - 11/12,11/12/2019,1206 RV,44,49,-5,BERNIE,357,2020,11/3/2020
Economist/YouGov,11/17 - 11/19,11/19/2019,1224 RV,44,49,-5,BIDEN,350,2020,11/3/2020
Economist/YouGov,11/17 - 11/19,11/19/2019,1224 RV,44,55,-11,TRUMP,350,2020,11/3/2020
Economist/YouGov,11/17 - 11/19,11/19/2019,1224 RV,42,52,-10,BERNIE,350,2020,11/3/2020
Economist/YouGov,11/24 - 11/26,11/26/2019,1189 RV,43,51,-8,BIDEN,343,2020,11/3/2020
Economist/YouGov,11/24 - 11/26,11/26/2019,1189 RV,45,54,-9,TRUMP,343,2020,11/3/2020
Economist/YouGov,11/24 - 11/26,11/26/2019,1189 RV,43,52,-9,BERNIE,343,2020,11/3/2020
Economist/YouGov,12/1 - 12/3,12/3/2019,1200 RV,42,51,-9,BIDEN,336,2020,11/3/2020
Economist/YouGov,12/1 - 12/3,12/3/2019,1200 RV,47,52,-5,TRUMP,336,2020,11/3/2020
Economist/YouGov,12/1 - 12/3,12/3/2019,1200 RV,42,52,-10,BERNIE,336,2020,11/3/2020
Economist/YouGov,12/7 - 12/10,12/10/2019,1209 RV,42,52,-10,BIDEN,329,2020,11/3/2020
Economist/YouGov,12/7 - 12/10,12/10/2019,1209 RV,45,54,-9,TRUMP,329,2020,11/3/2020
Economist/YouGov,12/7 - 12/10,12/10/2019,1209 RV,42,51,-9,BERNIE,329,2020,11/3/2020
Economist/YouGov,12/14 - 12/17,12/17/2019,1164 RV,43,51,-8,BIDEN,322,2020,11/3/2020
Economist/YouGov,12/14 - 12/17,12/17/2019,1164 RV,44,54,-10,TRUMP,322,2020,11/3/2020
Economist/YouGov,12/14 - 12/17,12/17/2019,1164 RV,43,51,-8,BERNIE,322,2020,11/3/2020
Economist/YouGov,12/22 - 12/24,12/24/2019,1240 RV,41,52,-11,BIDEN,315,2020,11/3/2020
Economist/YouGov,12/22 - 12/24,12/24/2019,1240 RV,43,55,-12,TRUMP,315,2020,11/3/2020
Economist/YouGov,12/22 - 12/24,12/24/2019,1240 RV,43,51,-8,BERNIE,315,2020,11/3/2020
Economist/YouGov,12/28 - 12/31,12/31/2019,1123 RV,45,49,-4,BIDEN,308,2020,11/3/2020
Economist/YouGov,12/28 - 12/31,12/31/2019,1123 RV,43,56,-13,TRUMP,308,2020,11/3/2020
Economist/YouGov,12/28 - 12/31,12/31/2019,1123 RV,44,49,-5,BERNIE,308,2020,11/3/2020
Economist/YouGov,1/5 - 1/7,1/7/2020,1185 RV,41,51,-10,BIDEN,301,2020,11/3/2020
Economist/YouGov,1/5 - 1/7,1/7/2020,1185 RV,44,54,-10,TRUMP,301,2020,11/3/2020
Economist/YouGov,1/5 - 1/7,1/7/2020,1185 RV,44,50,-6,BERNIE,301,2020,11/3/2020
Economist/YouGov,1/11 - 1/14,1/14/2020,1108 RV,41,52,-11,BIDEN,294,2020,11/3/2020
Economist/YouGov,1/11 - 1/14,1/14/2020,1108 RV,46,52,-6,TRUMP,294,2020,11/3/2020
Economist/YouGov,1/11 - 1/14,1/14/2020,1108 RV,43,51,-8,BERNIE,294,2020,11/3/2020
Economist/YouGov,1/19 - 1/21,1/21/2020,1176 RV,41,53,-12,BIDEN,287,2020,11/3/2020
Economist/YouGov,1/19 - 1/21,1/21/2020,1176 RV,47,51,-4,TRUMP,287,2020,11/3/2020
Economist/YouGov,1/19 - 1/21,1/21/2020,1176 RV,40,55,-15,BERNIE,287,2020,11/3/2020
Economist/YouGov,1/26 - 1/28,1/28/2020,1182 RV,41,53,-12,BIDEN,280,2020,11/3/2020
